 Label: Portree: 100.00%, name: p_Alan_Grayson.jpg 
 Label: Karikatuur: 99.08%, name: c_Mauricio_Macri.jpg 
 Label: Karikatuur: 93.56%, name: c_Tim_Draper.jpg 
 Label: Karikatuur: 70.99%, name: c_Theresa_May.jpg 
 Label: Karikatuur: 74.76%, name: c_James_Comey.jpg 
 Label: Portree: 99.47%, name: p_Ammon_Bundy.png 
 Label: Portree: 100.00%, name: p_Lincoln_Chafee.jpg 
 Label: Karikatuur: 80.07%, name: c_Marcela_Temer.jpg 
 Label: Portree: 100.00%, name: p_Andrew_McCabe.jpg 
 Label: Karikatuur: 90.35%, name: c_Mark_Kirk.jpg 
 Label: Portree: 100.00%, name: p_Jeff_Zucker.jpg 
 Label: Portree: 95.49%, name: p_Kirstjen_Nielsen.jpg 
 Label: Portree: 100.00%, name: p_Rudy_Giuliani.jpg 
 Label: Portree: 99.99%, name: p_Roy_Blunt.jpg 
 Label: Portree: 99.92%, name: p_Theresa_May.png 
 Label: Portree: 100.00%, name: p_Jason_Chaffetz.jpg 
VALESTI C Label: Portree: 79.97%, name: c_John_Fetterman.jpg 
VALESTI C Label: Portree: 99.67%, name: c_Ammon_Bundy.jpg 
 Label: Portree: 100.00%, name: p_Mauricio_Macri.jpg 
 Label: Karikatuur: 84.39%, name: c_Tim_Kaine.jpg 
 Label: Portree: 56.59%, name: p_Rafael_Cruz.jpg 
 Label: Portree: 100.00%, name: p_Tim_Kaine.jpg 
 Label: Portree: 95.77%, name: p_Justin_Trudeau.jpg 
 Label: Karikatuur: 97.64%, name: c_Rudy_Giuliani.jpg 
VALESTI P Label: Karikatuur: 54.54%, name: p_Darryl_Glenn.jpg 
VALESTI C Label: Portree: 71.21%, name: c_Patrick_Murphy.jpg 
 Label: Karikatuur: 59.40%, name: c_Richard_Burr.jpg 
 Label: Portree: 100.00%, name: p_James_Comey.jpg 
 Label: Karikatuur: 93.70%, name: c_Rafael_Cruz.jpg 
 Label: Portree: 99.42%, name: p_Kathleen_McGinty.jpg 
 Label: Karikatuur: 91.73%, name: c_Katie_McGinty.jpg 
 Label: Portree: 99.81%, name: p_Rush_Limbaugh.jpg 
 Label: Karikatuur: 80.39%, name: c_Joe_Sestak.jpg 
 Label: Portree: 98.97%, name: p_John_Fetterman.jpg 
 Label: Portree: 100.00%, name: p_Roger_Ailes.jpg 
 Label: Portree: 100.00%, name: p_Mark_Kirk.jpg 
 Label: Portree: 99.40%, name: p_Donald_Trump.jpg 
 Label: Portree: 100.00%, name: p_Paul_Ryan.jpg 
VALESTI C Label: Portree: 97.47%, name: c_Oprah_Winfrey.jpg 
VALESTI C Label: Portree: 68.95%, name: c_Kevin_McCarthy.jpg 
 Label: Karikatuur: 58.63%, name: c_Paul_Ryan.jpg 
VALESTI C Label: Portree: 74.81%, name: c_Justin_Trudeau.jpg 
 Label: Portree: 96.83%, name: p_Kelly_Ayotte.jpg 
 Label: Karikatuur: 64.98%, name: c_Rob_Portman.jpg 
 Label: Karikatuur: 97.82%, name: c_Rush_Limbaugh.jpg 
 Label: Portree: 99.92%, name: p_Les_Moonves.jpg 
VALESTI P Label: Karikatuur: 50.10%, name: p_Malcolm_Turnbull.jpg 
